source_experiment,model_short,reasoning,n,n_problems,mean_pass_at_n_v4flash,std_pass_at_n_v4flash,pass_rate_v4flash,mean_score_imo,mean_score_research,research_solves
scaling,gemma-4-31b-it,default,1,70,0.8825,1.7074,0.1238,0.696,0.1605,0
scaling,gemma-4-31b-it,default,3,70,1.5444,2.3394,0.217,1.2902,0.4087,0
scaling,gemma-4-31b-it,default,5,70,1.9322,2.6962,0.2727,1.6661,0.5688,0
scaling,gemma-4-31b-it,default,7,70,2.2044,2.9653,0.3123,1.935,0.6512,0
scaling,gemma-4-31b-it,default,9,70,2.4143,3.2093,0.3429,2.1509,0.6667,1
scaling,gpt-oss-120b,default,1,70,0.8222,1.7898,0.1159,0.6646,0.1481,0
scaling,gpt-oss-120b,default,3,70,1.2743,2.3847,0.1772,0.991,0.381,0
scaling,gpt-oss-120b,default,5,70,1.4748,2.5944,0.2056,1.1376,0.5379,0
scaling,gpt-oss-120b,default,7,70,1.6119,2.7488,0.2262,1.2474,0.6296,0
scaling,gpt-oss-120b,default,9,70,1.7143,2.8792,0.2429,1.3396,0.6667,1
scaling_reasoning,gemma-4-31b-it,max,1,70,1.9222,2.4581,0.2698,1.631,0.4198,0
scaling_reasoning,gemma-4-31b-it,max,3,70,2.7599,3.0557,0.3879,2.5308,0.7566,1
scaling_reasoning,gemma-4-31b-it,max,5,70,3.0492,3.2172,0.4274,2.8669,0.8342,1
scaling_reasoning,gemma-4-31b-it,max,7,70,3.2048,3.3036,0.448,3.0514,0.8642,1
scaling_reasoning,gemma-4-31b-it,max,9,70,3.2857,3.343,0.4571,3.1509,0.8889,1
scaling_reasoning,gpt-oss-120b,max,1,70,1.6333,2.324,0.2349,1.3606,0.4074,0
scaling_reasoning,gpt-oss-120b,max,3,70,2.4481,2.8709,0.3524,2.2309,0.7196,1
scaling_reasoning,gpt-oss-120b,max,5,70,2.8145,3.0583,0.4026,2.6261,0.7725,1
scaling_reasoning,gpt-oss-120b,max,7,70,3.0504,3.1764,0.4337,2.8878,0.7778,1
scaling_reasoning,gpt-oss-120b,max,9,70,3.2286,3.2871,0.4571,3.0943,0.7778,1
scaling_v4flash,deepseek-v4-flash,default,1,70,2.7365,2.7628,0.3889,2.5828,0.4938,0
scaling_v4flash,deepseek-v4-flash,default,3,70,3.6503,3.0403,0.5133,3.5496,1.2698,0
scaling_v4flash,deepseek-v4-flash,default,5,70,4.0057,3.0491,0.5615,3.9156,1.8748,0
scaling_v4flash,deepseek-v4-flash,default,7,70,4.254,3.0758,0.5964,4.1551,2.3951,1
scaling_v4flash,deepseek-v4-flash,default,9,70,4.4714,3.1655,0.6286,4.3585,2.8889,4
